Throughput,,,Memory,,
Time,Current,Average,Time,Used,Total
00:01:00,1.6663,1.6663,00:01:00,777.304817199707,2817.0625
00:02:00,1.6664,1.6664,00:02:00,528.805648803711,2835.9375
00:03:00,2.2218,2.2218,00:03:00,450.90348815918,2901.1875
00:04:00,2.083,2.083,00:04:00,585.936248779297,2911.625
00:05:00,2.3329,2.3329,00:05:00,979.964508056641,2953.00
00:06:00,2.2218,2.2218,00:06:00,855.628997802734,2960.25
00:07:00,2.3805,2.3805,00:07:00,1193.20052337646,2992.125
00:08:00,2.2913,2.2913,00:08:00,1175.79789733887,3001.75
00:09:00,2.2218,2.2218,00:09:00,1197.66431427002,3009.875
00:10:00,2.1663,2.1663,00:10:00,831.636268615723,3013.375
00:11:00,2.2723,2.2723,00:11:00,1380.87796020508,3019.625
00:12:00,2.2219,2.2219,00:12:00,815.43864440918,3031.5625
00:13:00,2.1791,2.1791,00:13:00,950.539321899414,3035.375
00:14:00,2.2615,2.2615,00:14:00,726.443923950195,3036.4375
00:15:00,2.4355,2.3329,00:15:00,659.869834899902,3042.875
00:16:00,2.1791,2.1871,00:16:00,715.857643127441,3042.875
00:17:00,2.1791,2.1565,00:17:00,909.467483520508,3042.4375
00:18:00,2.0509,2.1293,00:18:00,1016.83421325684,3042.3125
00:19:00,2.1425,2.1926,00:19:00,697.722610473633,3043.125
00:20:00,2.0509,2.1663,00:20:00,844.425437927246,3043.75
00:21:00,2.0509,2.1425,00:21:00,769.545059204102,3043.0625
00:22:00,1.9228,2.0451,00:22:00,816.021881103516,3043.0625
00:23:00,1.9227,2.0286,00:23:00,827.34415435791,3040.875
00:24:00,2.0235,2.083,00:24:00,1431.04518890381,3035.1875
00:25:00,1.9228,2.0663,00:25:00,1596.12749481201,3041.25
00:26:00,2.0509,2.115,00:26:00,1368.1858215332,3044.375
00:27:00,1.9228,2.0984,00:27:00,1465.44031524658,3043.5
00:28:00,1.7945,2.083,00:28:00,719.311782836914,3044.3125
00:29:00,1.7854,2.0686,00:29:00,1452.4036026001,3045.625
00:30:00,2.0509,2.1108,00:30:00,939.463928222656,3038.3125
00:31:00,2.0509,2.0964,00:31:00,910.49063873291,3038.625
00:32:00,1.9228,2.083,00:32:00,891.539169311523,3043.0625
00:33:00,1.9227,2.0704,00:33:00,1675.33126068115,3038.0625
00:34:00,1.9044,2.0585,00:34:00,1693.86026000977,3041.1875
00:35:00,2.0509,2.0473,00:35:00,1448.19710540771,3042.5
00:36:00,2.0509,2.0367,00:36:00,1390.34922790527,3039.875
00:37:00,1.9228,2.0267,00:37:00,1470.2585144043,3033.00
00:38:00,1.9227,2.0172,00:38:00,1562.78825378418,3039.125
00:39:00,1.9045,2.0082,00:39:00,847.298027038574,3043.3125
00:40:00,1.9228,2.0413,00:40:00,1154.56177520752,3043.125
